Date,Title,Info,Activity,Payments,Fees
02/29/2016,"Promoted Listings","Bill for clicks that occurred on Feb 28, 2016","Promoted Listings",,0.81
02/29/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1120681171",transaction,,0.35
02/29/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
02/28/2016,"Promoted Listings","Bill for clicks that occurred on Feb 27, 2016","Promoted Listings",,2.46
02/27/2016,"Promoted Listings","Bill for clicks that occurred on Feb 26, 2016","Promoted Listings",,2.28
02/26/2016,"Promoted Listings","Bill for clicks that occurred on Feb 25, 2016","Promoted Listings",,1.26
02/25/2016,"Promoted Listings","Bill for clicks that occurred on Feb 24, 2016","Promoted Listings",,2.48
02/23/2016,"Promoted Listings","Bill for clicks that occurred on Feb 22, 2016","Promoted Listings",,2.16
02/17/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1116706137",transaction,,0.35
02/17/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
02/16/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 268616808",listing,,0.20
02/16/2016,"Natural Fragrance Sample Pack","listing: 268616224",listing,,0.20
02/16/2016,"Jasmine Perfume Oil Sample - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 268509553",listing,,0.20
02/14/2016,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","transaction: 1116028713",transaction,,0.35
02/14/2016,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 256909987","auto-renew sold ",,0.20
02/12/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1113455768",transaction,,0.70
02/12/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
02/11/2016,"Promoted Listings","Bill for clicks that occurred on Feb 10, 2016","Promoted Listings",,0.70
02/10/2016,"Promoted Listings","Bill for clicks that occurred on Feb 9, 2016","Promoted Listings",,1.10
02/09/2016,"Promoted Listings","Bill for clicks that occurred on Feb 8, 2016","Promoted Listings",,0.51
02/08/2016,"Promoted Listings","Bill for clicks that occurred on Feb 7, 2016","Promoted Listings",,0.83
02/07/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1113510263",transaction,,0.35
02/07/2016,"Promoted Listings","Bill for clicks that occurred on Feb 6, 2016","Promoted Listings",,0.30
02/07/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
02/06/2016,"Promoted Listings","Bill for clicks that occurred on Feb 5, 2016","Promoted Listings",,0.82
02/05/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1113040171",transaction,,0.35
02/05/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
02/05/2016,"Promoted Listings","Bill for clicks that occurred on Feb 4, 2016","Promoted Listings",,1.24
02/04/2016,"Promoted Listings","Bill for clicks that occurred on Feb 3, 2016","Promoted Listings",,1.74
02/03/2016,"Promoted Listings","Bill for clicks that occurred on Feb 2, 2016","Promoted Listings",,0.62
02/02/2016,"Promoted Listings","Bill for clicks that occurred on Feb 1, 2016","Promoted Listings",,2.22
02/01/2016,"Promoted Listings","Bill for clicks that occurred on Jan 31, 2016","Promoted Listings",,2.50
02/01/2016,"Automatic Credit Card Payment","MasterCard ending in 3330",payment,43.17,
